CPU Stats,Memory Stats,Network Stats,Up Time
"[0.8, 48.3]","[5.41, 31.2, 2.36]","[399525726, 558174059, 841457, 1059392]",177233.69
"[0.5, 49.4]","[5.41, 31.2, 2.36]","[399531629, 558178740, 841509, 1059439]",177234.69
"[0.5, 48.8]","[5.41, 31.2, 2.36]","[399538816, 558184881, 841575, 1059503]",177235.70
"[0.3, 49.4]","[5.41, 31.2, 2.36]","[399546251, 558191048, 841642, 1059567]",177236.70
"[1.7, 48.3]","[5.41, 31.2, 2.36]","[399552001, 558195796, 841694, 1059616]",177237.71
"[0.0, 49.4]","[5.41, 31.2, 2.36]","[399557080, 558200297, 841741, 1059658]",177238.71
"[3.3, 49.4]","[5.41, 31.3, 2.36]","[399575372, 558206538, 841807, 1059717]",177239.71
"[1.7, 48.3]","[5.41, 31.3, 2.36]","[399582038, 558212380, 841868, 1059777]",177240.72
"[0.3, 49.4]","[5.41, 31.3, 2.36]","[399589786, 558218412, 841938, 1059844]",177241.72
"[0.3, 48.8]","[5.41, 31.3, 2.36]","[399595592, 558223766, 841991, 1059897]",177242.73
"[0.5, 48.8]","[5.41, 31.3, 2.36]","[399600647, 558228619, 842038, 1059940]",177243.73
"[0.5, 49.4]","[5.41, 31.3, 2.36]","[399607167, 558234032, 842097, 1059995]",177244.74
"[0.5, 48.8]","[5.41, 31.3, 2.36]","[399613655, 558239951, 842153, 1060053]",177245.74
"[0.5, 49.4]","[5.41, 31.3, 2.36]","[399621541, 558246545, 842225, 1060123]",177246.75
"[0.3, 49.9]","[5.41, 31.3, 2.36]","[399627191, 558251257, 842277, 1060172]",177247.75
"[0.3, 49.4]","[5.41, 31.3, 2.36]","[399632055, 558255797, 842322, 1060213]",177248.75
"[0.5, 49.4]","[5.41, 31.3, 2.36]","[399638819, 558261653, 842384, 1060273]",177249.76
"[1.0, 48.8]","[5.41, 31.2, 2.36]","[399645780, 558266986, 842449, 1060333]",177250.76
"[0.5, 48.8]","[5.41, 31.2, 2.36]","[399653860, 558273224, 842526, 1060405]",177251.77
"[0.7, 49.4]","[5.41, 31.2, 2.36]","[399659663, 558278537, 842580, 1060458]",177252.77
"[0.5, 49.4]","[5.41, 31.2, 2.36]","[399664975, 558283931, 842630, 1060507]",177253.78
"[0.5, 49.4]","[5.41, 31.2, 2.36]","[399681014, 558289669, 842702, 1060569]",177254.78
"[0.5, 48.8]","[5.41, 31.2, 2.36]","[399687698, 558296385, 842763, 1060629]",177255.78
"[0.5, 48.3]","[5.41, 31.2, 2.36]","[399695147, 558302554, 842833, 1060697]",177256.79
"[1.3, 48.8]","[5.41, 31.2, 2.36]","[399701147, 558307558, 842886, 1060745]",177257.79
"[0.5, 47.7]","[5.41, 31.2, 2.36]","[399705761, 558312000, 842925, 1060784]",177258.80
"[1.0, 49.9]","[5.41, 31.2, 2.36]","[399713043, 558318334, 842993, 1060849]",177259.80
"[0.3, 49.4]","[5.41, 31.2, 2.36]","[399719732, 558323789, 843055, 1060909]",177260.81
"[0.5, 48.8]","[5.41, 31.2, 2.36]","[399727487, 558330262, 843125, 1060978]",177261.81
"[0.8, 49.4]","[5.41, 31.2, 2.36]","[399733180, 558334945, 843177, 1061026]",177262.82
"[0.5, 48.3]","[5.41, 31.2, 2.36]","[399738171, 558339872, 843224, 1061071]",177263.82
"[1.0, 49.4]","[5.41, 31.2, 2.36]","[399754090, 558354015, 843327, 1061173]",177264.82
"[0.8, 49.9]","[5.42, 31.1, 2.35]","[399762944, 558361279, 843403, 1061243]",177265.83
"[1.5, 47.7]","[5.42, 31.1, 2.35]","[399774144, 558372255, 843486, 1061328]",177266.84
"[0.0, 47.7]","[5.42, 31.1, 2.35]","[399776903, 558374070, 843513, 1061352]",177267.84
"[1.2, 48.8]","[5.42, 31.1, 2.35]","[399782751, 558380130, 843562, 1061401]",177268.84
"[0.2, 48.8]","[5.42, 31.1, 2.35]","[399786996, 558383375, 843605, 1061442]",177269.85
"[0.2, 48.8]","[5.42, 31.1, 2.35]","[399790649, 558385880, 843642, 1061478]",177270.85
"[0.7, 48.3]","[5.42, 31.1, 2.35]","[399795730, 558389673, 843693, 1061527]",177271.86
"[0.3, 48.8]","[5.42, 31.1, 2.35]","[399797631, 558391486, 843712, 1061547]",177272.86
"[3.0, 47.7]","[5.42, 31.1, 2.35]","[399805351, 558398768, 843776, 1061607]",177273.87
"[0.5, 48.8]","[5.42, 31.1, 2.35]","[399812948, 558404860, 843846, 1061672]",177274.87
"[0.0, 48.8]","[5.42, 31.1, 2.35]","[399816612, 558407840, 843883, 1061710]",177275.88
"[0.7, 48.8]","[5.42, 31.1, 2.35]","[399821892, 558411502, 843936, 1061760]",177276.88
"[0.0, 49.4]","[5.42, 31.1, 2.35]","[399823924, 558412964, 843956, 1061779]",177277.88
"[0.2, 47.7]","[5.42, 31.1, 2.35]","[399825686, 558414930, 843974, 1061799]",177278.89
"[0.0, 49.4]","[5.42, 31.1, 2.35]","[399829921, 558418173, 844017, 1061840]",177279.89
"[0.0, 49.4]","[5.42, 31.1, 2.35]","[399833575, 558420719, 844054, 1061877]",177280.90
"[0.3, 48.3]","[5.42, 31.1, 2.35]","[399838657, 558424237, 844105, 1061924]",177281.90
"[0.0, 48.3]","[5.42, 31.1, 2.35]","[399840860, 558426166, 844127, 1061945]",177282.90
"[0.3, 48.8]","[5.42, 31.1, 2.35]","[399842731, 558427981, 844146, 1061966]",177283.91
"[0.2, 48.8]","[5.42, 31.1, 2.35]","[399846780, 558431120, 844186, 1062005]",177284.91
"[0.2, 48.3]","[5.42, 31.1, 2.35]","[399851002, 558434387, 844229, 1062046]",177285.92
"[0.7, 48.3]","[5.42, 31.1, 2.35]","[399856116, 558437743, 844281, 1062094]",177286.92
"[0.0, 48.8]","[5.42, 31.1, 2.35]","[399858027, 558439518, 844300, 1062113]",177287.93
"[0.3, 47.2]","[5.42, 31.1, 2.35]","[399859434, 558440847, 844314, 1062128]",177288.93
"[1.0, 48.3]","[5.42, 31.1, 2.35]","[399863905, 558444182, 844360, 1062171]",177289.94
"[0.3, 49.4]","[5.42, 31.1, 2.35]","[399867569, 558446650, 844397, 1062206]",177290.94
"[0.3, 48.8]","[5.42, 31.1, 2.35]","[399872975, 558450552, 844452, 1062256]",177291.94
"[0.0, 47.7]","[5.42, 31.1, 2.35]","[399874854, 558452333, 844470, 1062275]",177292.95
"[0.0, 48.3]","[5.42, 31.1, 2.35]","[399876130, 558453541, 844483, 1062289]",177293.95
"[0.3, 47.7]","[5.42, 31.1, 2.35]","[399880381, 558457123, 844527, 1062333]",177294.96
"[0.3, 47.7]","[5.42, 31.1, 2.35]","[399884165, 558460428, 844565, 1062372]",177295.96
"[0.5, 47.7]","[5.42, 31.1, 2.35]","[399889701, 558463898, 844621, 1062421]",177296.97
"[0.3, 48.8]","[5.42, 31.1, 2.35]","[399891320, 558465559, 844637, 1062439]",177297.97
"[0.7, 48.8]","[5.42, 31.1, 2.35]","[399892594, 558467197, 844650, 1062454]",177298.97
"[0.3, 48.3]","[5.42, 31.1, 2.35]","[399897486, 558470333, 844700, 1062498]",177299.98
"[0.5, 49.9]","[5.42, 31.1, 2.35]","[399901140, 558473271, 844737, 1062535]",177300.98
"[0.0, 48.8]","[5.42, 31.1, 2.35]","[399906254, 558476667, 844789, 1062584]",177301.99
"[0.2, 48.3]","[5.42, 31.1, 2.35]","[399907886, 558478333, 844805, 1062602]",177302.99
"[0.0, 48.8]","[5.42, 31.1, 2.35]","[399909294, 558479623, 844819, 1062616]",177304.00
"[0.2, 47.7]","[5.42, 31.1, 2.35]","[399914057, 558483112, 844868, 1062661]",177305.00
"[0.3, 48.3]","[5.42, 31.1, 2.35]","[399917721, 558486052, 844905, 1062698]",177306.00
"[1.5, 48.8]","[5.42, 31.1, 2.35]","[399923027, 558489568, 844959, 1062748]",177307.01
"[0.3, 49.4]","[5.42, 31.1, 2.35]","[399924776, 558491229, 844976, 1062766]",177308.01
"[0.5, 47.7]","[5.42, 31.1, 2.35]","[399926637, 558493218, 844995, 1062786]",177309.12
"[0.2, 48.3]","[5.42, 31.1, 2.35]","[399931108, 558496161, 845041, 1062827]",177310.12
"[0.5, 47.2]","[5.42, 31.1, 2.35]","[399934892, 558499139, 845079, 1062865]",177311.12
"[0.3, 48.3]","[5.42, 31.1, 2.35]","[399939830, 558502865, 845128, 1062913]",177312.13
"[0.0, 48.8]","[5.42, 31.1, 2.35]","[399941157, 558503860, 845141, 1062926]",177313.13
"[0.3, 47.7]","[5.42, 31.1, 2.35]","[399943149, 558505970, 845161, 1062947]",177314.14
"[0.3, 47.7]","[5.42, 31.1, 2.35]","[399947618, 558508871, 845207, 1062989]",177315.14
"[0.0, 48.3]","[5.42, 31.1, 2.35]","[399951281, 558511810, 845244, 1063026]",177316.14
"[0.3, 48.3]","[5.42, 31.1, 2.35]","[399956395, 558515166, 845296, 1063074]",177317.15
"[0.3, 47.7]","[5.42, 31.1, 2.35]","[399957852, 558516753, 845310, 1063090]",177318.15
"[1.5, 47.2]","[5.42, 31.1, 2.35]","[399964810, 558523626, 845369, 1063149]",177319.16
"[2.0, 47.7]","[5.42, 31.1, 2.35]","[399975991, 558532346, 845448, 1063224]",177320.16
"[1.2, 49.4]","[5.42, 31.1, 2.35]","[399986743, 558542990, 845543, 1063316]",177321.17
"[1.5, 48.3]","[5.41, 31.2, 2.35]","[399999078, 558553900, 845638, 1063409]",177322.17
"[1.8, 49.4]","[5.41, 31.2, 2.35]","[400010086, 558564636, 845728, 1063499]",177323.18
"[34.2, 50.5]","[5.32, 32.3, 2.44]","[400026651, 558581445, 845836, 1063607]",177324.18
"[1.5, 49.9]","[5.32, 32.3, 2.44]","[400035047, 558588863, 845910, 1063681]",177325.18
"[0.3, 49.9]","[5.32, 32.3, 2.44]","[400048641, 558600371, 846010, 1063778]",177326.19
"[0.5, 49.4]","[5.32, 32.3, 2.44]","[400058349, 558608623, 846095, 1063862]",177327.19
"[0.5, 50.5]","[5.32, 32.3, 2.44]","[400063403, 558613169, 846137, 1063901]",177328.19
"[1.7, 49.4]","[5.32, 32.3, 2.44]","[400068577, 558618017, 846183, 1063943]",177329.20
"[1.3, 49.9]","[5.32, 32.3, 2.44]","[400079151, 558627005, 846273, 1064029]",177330.20
"[0.5, 48.8]","[5.33, 32.3, 2.44]","[400087703, 558634611, 846352, 1064108]",177331.21
"[2.2, 49.4]","[5.33, 32.2, 2.43]","[400095823, 558641319, 846425, 1064179]",177332.21
"[1.3, 48.8]","[5.34, 32.2, 2.43]","[400102549, 558647403, 846484, 1064237]",177333.22
"[0.3, 49.4]","[5.34, 32.1, 2.43]","[400110358, 558655026, 846556, 1064309]",177334.22
"[0.8, 49.4]","[5.34, 32.1, 2.43]","[400133325, 558661939, 846640, 1064382]",177335.22
"[2.5, 48.8]","[5.34, 32.1, 2.43]","[400275680, 558677598, 846830, 1064554]",177336.23
"[1.5, 49.4]","[5.33, 32.2, 2.44]","[400295829, 558695335, 846957, 1064681]",177337.23
"[0.5, 48.8]","[5.33, 32.2, 2.43]","[400300151, 558699737, 846996, 1064720]",177338.24
"[1.5, 48.8]","[5.33, 32.2, 2.43]","[400305251, 558704185, 847042, 1064762]",177339.24
"[0.5, 48.8]","[5.33, 32.2, 2.43]","[400312857, 558710189, 847112, 1064827]",177340.24
"[0.7, 48.8]","[5.33, 32.2, 2.43]","[400320040, 558716402, 847180, 1064894]",177341.25
"[2.0, 48.8]","[5.33, 32.2, 2.43]","[400341292, 558736157, 847307, 1065020]",177342.30
"[0.5, 47.7]","[5.33, 32.2, 2.43]","[400346442, 558740831, 847354, 1065066]",177343.31
"[0.5, 48.3]","[5.33, 32.2, 2.43]","[400351756, 558746182, 847403, 1065114]",177344.31
"[0.3, 49.4]","[5.33, 32.2, 2.43]","[400359808, 558753079, 847477, 1065187]",177345.32
"[1.0, 48.8]","[5.33, 32.2, 2.43]","[400367430, 558759001, 847548, 1065253]",177346.32
"[1.5, 47.7]","[5.33, 32.2, 2.44]","[400374688, 558765217, 847616, 1065320]",177347.33
"[1.2, 48.8]","[5.33, 32.2, 2.43]","[400379381, 558769990, 847659, 1065362]",177348.34
"[0.7, 47.7]","[5.33, 32.2, 2.43]","[400384776, 558774531, 847708, 1065407]",177349.34
"[0.5, 49.4]","[5.33, 32.2, 2.43]","[400392211, 558780838, 847775, 1065474]",177350.35
"[1.3, 48.8]","[5.33, 32.2, 2.43]","[400399497, 558787026, 847842, 1065539]",177351.35
"[0.3, 49.9]","[5.33, 32.2, 2.43]","[400406918, 558792841, 847910, 1065602]",177352.35
"[0.5, 49.9]","[5.33, 32.2, 2.43]","[400411554, 558797489, 847951, 1065642]",177353.36
"[1.0, 48.3]","[5.33, 32.2, 2.44]","[400417103, 558802064, 848002, 1065687]",177354.36
"[0.5, 48.8]","[5.33, 32.2, 2.43]","[400424228, 558808283, 848067, 1065753]",177355.37
"[2.3, 48.3]","[5.33, 32.2, 2.44]","[400431930, 558814235, 848140, 1065819]",177356.37
"[0.5, 48.8]","[5.33, 32.2, 2.43]","[400439594, 558820595, 848211, 1065887]",177357.38
"[1.2, 48.3]","[5.33, 32.2, 2.43]","[400461573, 558842148, 848355, 1066043]",177358.38
"[0.8, 47.2]","[5.33, 32.2, 2.43]","[400477065, 558855318, 848449, 1066136]",177359.39
"[0.7, 48.3]","[5.33, 32.2, 2.43]","[400484301, 558861454, 848513, 1066199]",177360.39
"[0.5, 48.3]","[5.33, 32.2, 2.43]","[400493767, 558869704, 848594, 1066278]",177361.39
"[0.5, 48.3]","[5.33, 32.2, 2.43]","[400501506, 558875949, 848660, 1066342]",177362.40
"[0.5, 47.7]","[5.33, 32.2, 2.43]","[400507076, 558881615, 848709, 1066392]",177363.40
"[0.3, 48.3]","[5.33, 32.2, 2.43]","[400514020, 558887779, 848773, 1066453]",177364.41
"[0.7, 48.8]","[5.33, 32.2, 2.43]","[400520866, 558893327, 848834, 1066513]",177365.41
"[1.0, 47.7]","[5.33, 32.2, 2.43]","[400530762, 558901775, 848921, 1066597]",177366.42
"[0.5, 48.3]","[5.33, 32.2, 2.43]","[400538332, 558907603, 848987, 1066658]",177367.42
"[0.3, 47.7]","[5.33, 32.2, 2.43]","[400546355, 558915356, 849053, 1066722]",177368.42
"[1.2, 48.3]","[5.33, 32.2, 2.43]","[400563923, 558931690, 849146, 1066816]",177369.43
"[2.2, 48.8]","[5.33, 32.2, 2.44]","[400583811, 558949566, 849253, 1066926]",177370.43
"[2.5, 49.4]","[5.33, 32.2, 2.44]","[400595567, 558959556, 849352, 1067019]",177371.44
"[2.3, 48.3]","[5.33, 32.2, 2.44]","[400626947, 558974666, 849467, 1067123]",177372.44
"[2.2, 48.8]","[5.33, 32.2, 2.44]","[400645566, 558992603, 849596, 1067252]",177373.45
"[12.5, 48.8]","[5.33, 32.2, 2.44]","[400678323, 559023184, 849779, 1067441]",177374.45
"[1.5, 49.9]","[5.36, 31.8, 2.41]","[400692261, 559036150, 849885, 1067544]",177375.45
"[2.0, 52.1]","[5.36, 31.8, 2.41]","[400706897, 559048912, 849970, 1067624]",177376.46
"[19.5, 50.5]","[5.33, 32.2, 2.44]","[400723821, 559066077, 850101, 1067754]",177377.46
"[10.8, 49.9]","[5.31, 32.4, 2.45]","[400734004, 559075176, 850181, 1067833]",177378.47
"[1.0, 50.5]","[5.31, 32.4, 2.45]","[400742564, 559083308, 850252, 1067904]",177379.47
"[2.8, 50.5]","[5.31, 32.4, 2.46]","[400760586, 559101133, 850379, 1068033]",177380.47
"[1.7, 49.9]","[5.31, 32.4, 2.46]","[400777829, 559118635, 850502, 1068157]",177381.48
"[1.0, 49.4]","[5.31, 32.4, 2.46]","[400785460, 559124598, 850572, 1068221]",177382.48
"[0.8, 49.9]","[5.31, 32.4, 2.46]","[400791025, 559130247, 850622, 1068272]",177383.49
"[2.0, 49.9]","[5.31, 32.5, 2.46]","[400797691, 559136129, 850678, 1068329]",177384.49
"[20.1, 52.7]","[5.31, 32.5, 2.46]","[400815051, 559151709, 850782, 1068435]",177385.50
"[26.1, 51.0]","[5.31, 32.5, 2.46]","[400844307, 559175259, 850928, 1068580]",177386.50
"[6.2, 50.5]","[5.31, 32.5, 2.46]","[400862902, 559188371, 851015, 1068659]",177387.51
"[1.0, 51.0]","[5.31, 32.5, 2.46]","[400867873, 559193555, 851061, 1068705]",177388.51
"[1.0, 50.5]","[5.31, 32.5, 2.46]","[400873363, 559198547, 851110, 1068751]",177389.51
"[0.5, 50.5]","[5.31, 32.5, 2.46]","[400881042, 559204940, 851184, 1068821]",177390.54
"[1.0, 50.5]","[5.31, 32.5, 2.46]","[400890817, 559213251, 851267, 1068900]",177391.55
"[19.3, 50.5]","[5.31, 32.5, 2.46]","[400919115, 559234036, 851403, 1069038]",177392.55
"[6.8, 50.5]","[5.3, 32.6, 2.47]","[400957345, 559260280, 851586, 1069219]",177393.55
"[18.4, 52.7]","[5.29, 32.7, 2.47]","[401081254, 559293463, 851846, 1069464]",177394.56
"[8.3, 52.1]","[5.29, 32.7, 2.48]","[401124608, 559324190, 852059, 1069674]",177395.66
"[5.5, 51.6]","[5.29, 32.7, 2.48]","[401143849, 559342261, 852204, 1069816]",177396.67
"[2.0, 50.5]","[5.29, 32.7, 2.48]","[401162162, 559356720, 852295, 1069904]",177397.67
"[1.0, 50.5]","[5.32, 32.4, 2.45]","[401174460, 559369482, 852386, 1069997]",177398.67
"[29.8, 51.6]","[5.28, 32.9, 2.49]","[401192195, 559388174, 852510, 1070114]",177399.68
"[2.7, 51.6]","[5.27, 33.0, 2.5]","[401209898, 559406557, 852641, 1070250]",177400.68
"[0.8, 51.6]","[5.27, 33.0, 2.5]","[401260069, 559425133, 852795, 1070390]",177401.69
"[1.5, 51.6]","[5.27, 33.0, 2.5]","[401299112, 559444490, 852925, 1070535]",177402.69
"[3.3, 51.6]","[5.27, 33.0, 2.5]","[401351987, 559505909, 853226, 1070853]",177403.69
"[1.7, 51.0]","[5.27, 33.0, 2.5]","[401364868, 559517324, 853324, 1070948]",177404.70
"[1.8, 49.9]","[5.27, 33.0, 2.5]","[401385073, 559535871, 853460, 1071093]",177405.70
"[0.8, 50.5]","[5.28, 32.8, 2.49]","[401394619, 559543041, 853544, 1071170]",177406.71
"[2.0, 51.0]","[5.29, 32.7, 2.48]","[401403883, 559551599, 853624, 1071249]",177407.71
"[2.8, 50.5]","[5.3, 32.7, 2.47]","[401440350, 559560990, 853724, 1071337]",177408.71
"[2.3, 49.4]","[5.3, 32.7, 2.47]","[401509793, 559582355, 853910, 1071519]",177409.72
"[2.7, 49.9]","[5.3, 32.6, 2.47]","[401541686, 559597245, 854040, 1071651]",177410.72
"[1.0, 50.5]","[5.3, 32.6, 2.47]","[401555891, 559608674, 854147, 1071756]",177411.73
"[3.5, 51.0]","[5.3, 32.6, 2.47]","[401703625, 559687681, 854262, 1071836]",177412.73
"[0.5, 49.4]","[5.3, 32.6, 2.47]","[401709588, 559693172, 854305, 1071880]",177413.74
"[0.5, 49.9]","[5.3, 32.6, 2.47]","[401716790, 559698722, 854373, 1071940]",177414.74
"[0.5, 49.9]","[5.3, 32.6, 2.47]","[401723677, 559704737, 854438, 1072004]",177415.75
"[1.5, 50.5]","[5.3, 32.6, 2.47]","[401730958, 559711010, 854502, 1072069]",177416.75
"[0.8, 51.6]","[5.3, 32.6, 2.47]","[401736458, 559715624, 854550, 1072114]",177417.75
"[0.5, 49.4]","[5.3, 32.6, 2.47]","[401741466, 559720020, 854595, 1072155]",177418.76
"[0.5, 49.9]","[5.3, 32.6, 2.47]","[401748456, 559725994, 854661, 1072217]",177419.76
"[2.2, 49.9]","[5.3, 32.6, 2.47]","[401755279, 559731787, 854722, 1072274]",177420.77
"[1.5, 49.9]","[5.3, 32.6, 2.47]","[401763475, 559738087, 854796, 1072345]",177421.87
"[1.8, 51.0]","[5.3, 32.7, 2.47]","[401768405, 559742545, 854839, 1072386]",177422.87
"[0.5, 48.3]","[5.3, 32.7, 2.47]","[401773344, 559747482, 854884, 1072430]",177423.88
"[0.3, 49.4]","[5.3, 32.7, 2.47]","[401781147, 559753445, 854958, 1072496]",177424.88
"[0.5, 49.4]","[5.3, 32.6, 2.47]","[401787816, 559759228, 855017, 1072554]",177425.89
"[0.5, 48.8]","[5.3, 32.6, 2.47]","[401795734, 559765910, 855091, 1072626]",177426.89
"[6.8, 50.5]","[5.29, 32.7, 2.47]","[401839560, 559835886, 855214, 1072745]",177427.90
"[0.3, 49.9]","[5.29, 32.7, 2.47]","[401903314, 559849827, 855307, 1072819]",177428.90
"[0.8, 49.4]","[5.29, 32.7, 2.47]","[401912800, 559878593, 855402, 1072909]",177429.90
"[1.0, 51.0]","[5.29, 32.7, 2.47]","[401924010, 559986182, 855525, 1073071]",177430.91
"[0.8, 51.0]","[5.29, 32.7, 2.47]","[401946337, 560063770, 855639, 1073217]",177431.91
"[0.5, 50.5]","[5.29, 32.7, 2.47]","[401954349, 560134863, 855724, 1073324]",177432.92
"[7.8, 51.0]","[5.28, 32.8, 2.48]","[402072546, 560217133, 855877, 1073451]",177433.92
"[0.5, 51.0]","[5.28, 32.8, 2.48]","[402148233, 560225590, 855991, 1073553]",177434.92
"[1.7, 51.0]","[5.28, 32.8, 2.48]","[402166257, 560237794, 856070, 1073627]",177435.93
"[0.7, 51.0]","[5.28, 32.8, 2.48]","[402174477, 560244564, 856147, 1073700]",177436.93
